"SlNo",Asset Id,Asset Name,"StartChainage","EndChainage","Length(Km)",District
27,PW05010103046315,Manvila Pullukadu,0,2.6,2.6,TVPM
28,PW05010103046314,"Nehru Jn-St Xaviers college -puthenthope-Channankari-",0,5,5,TVPM
29,PW05010103046313,Alathra,0,2.5,2.5,TVPM
30,PW05010103046308,Sreekaryam-Pothencode,0,7,7,TVPM
31,PW05010103046305,16th mile-TQ road- Vengod,0,3,3,TVPM
32,PW05010103046303,Veli-Kadinamkulam,0,19,19,TVPM
33,PW05010103046312,Padinjattumukku Puthukurichi,0,6,6,TVPM
34,PW05010103046311,Apporoch road to Veli -Kadinamkulam,0,0.6,0.6,TVPM
35,PW05010103046310,Arattuvazhi road,0,2.8,2.8,TVPM
36,PW05010103046309,Kariyavattom- Chenkottukonam,0,2.9,2.9,TVPM
37,PW05010103046307,Kurisadi LNCPE-Kumizhikkara,0,3,3,TVPM
38,PW05010103046306,Mangattumoola Vengode,0,3,3,TVPM
39,PW05010105036337,Thachode pnayara road,0,1.9,1.9,TVPM
40,PW05010105036336,vadasserikonam Palamkonam road,0,5.89,5.89,TVPM
41,PW05010105036334,Janardhanapuram Mundayil road,0,1.2,1.2,TVPM
42,PW05010103046302,Pothencode-Murukkumpuzha,0,9.6,9.6,TVPM
43,PW05010101036302,Uchakkada pozhiyoor road,0,2.2,2.2,TVPM
44,PW05010101036328,Pozhiyoor bridge to state border road,0,1.21,1.21,TVPM
45,PW05010101036303,Plamoottukada to Poozhikunnu road,0,1.3,1.3,TVPM
46,PW05010101036316,Poozhikunnu Mavilakkadavu road,0,1.93,1.93,TVPM
47,PW05010101036330,"Idichakkaplamoodu-PlamoottukadaRoad",0,3.44,3.44,TVPM
48,PW05010101036313,Arayoor Temple(CVR Puram) Road,0,2.2,2.2,TVPM
49,PW05010101036317,Arayoor - Ponvila Road,0,1.58,1.58,TVPM
50,PW05010101036331,Ayira Temple Road,0,0.6,0.6,TVPM
51,PW05010101036308,Cheruvarakonam Road,0,3.33,3.33,TVPM
52,PW05010101036306,Govt Hospital Road,0,0.2,0.2,TVPM
53,PW05010101036304,Magadu Road,0,0.6,0.6,TVPM
54,PW05010101036305,Old Magistrate Court Road,0,0.49,0.49,TVPM
55,PW05010101036318,Parasuvaikal-Alampara Road,0,3.2,3.2,TVPM
56,PW05010101036307,Parassala Mahadever Temple Road,0,0.8,0.8,TVPM
57,PW05010102016304,Moozhinada Bhagavathipuram road,0,1.4,1.4,TVPM
58,PW05010104016309,Manacadu-Konchiravila,0,1.58,1.58,TVPM
59,PW05010104016308,"ATTAKULANGARA-THIRUVALLOMROAD",0,4.25,4.25,TVPM
60,PW05010104016306,Manacadu-Valiyathura,0,2.28,2.28,TVPM
61,PW05010101016333,"11 th Mile MS road to 3 rd Mile Poovarroad",0,4.4,4.4,TVPM
62,PW05010101016303,Court road .,0,0.37,0.37,TVPM
63,PW05010101016304,Balaramapuram - Poovar road,0,2.8,2.8,TVPM
64,PW05010101016305,Pappanamcodu - Kottoor road,0,3.2,3.2,TVPM
65,PW05010101016306,Mookkunnimala road,0,1.2,1.2,TVPM
66,PW05010101016307,Studio road,0,1.2,1.2,TVPM
67,PW05010101016308,Thrikkannapuram - Poozhikkunnu road,0,0.65,0.65,TVPM
68,PW05010101016309,Balaramapuram - Kattakkada road,0,2.2,2.2,TVPM
69,PW05010101016310,Balaramapuram - Kattakkada road,5.6,10.6,5,TVPM
70,PW05010101016311,Arikkadamukku - Mookunnimala,0,2.2,2.2,TVPM
71,PW05010101016330,Sreeragam - Puliyara road,0,0.2,0.2,TVPM
72,PW05010101016313,Amaravila - Ottasekharamangalam,0,12.2,12.2,TVPM
73,PW05010101016314,Neyyattinkara - Poovar road,0,10,10,TVPM
74,PW05010101016318,Russelpuram - Koottappana road,0,2.69,2.69,TVPM
75,PW05010101016319,Thirupuram - Mavilakkadavu road,0,3.2,3.2,TVPM
76,PW05010101016320,Railwaystation road,0,0.75,0.75,TVPM
77,PW05010101016321,Punnavoor - Veliyamcodu,0,2.7,2.7,TVPM
78,PW05010101016322,Vandannoor - Russelpuram,0,2.7,2.7,TVPM
79,PW05010101016323,Neyyattinkara - Moolakkonam road,4.1,7.75,3.65,TVPM
80,PW05010101016324,Kacheri road,0,0.8,0.8,TVPM
81,PW05010101016325,Old Anchal office - Amaravila road,0,2.62,2.62,TVPM
82,PW05010101016326,Kulangarakkonam - Machel road,0,2,2,TVPM
83,PW05010101016315,"Pravachambalam - Ooruttambalamroad",0,3.2,3.2,TVPM
84,PW05010101016327,Pongamoodu - Aruvikkara road,0,2,2,TVPM
85,PW05010101016316,Earuthavoor - Naruvamoodu road,0,2.75,2.75,TVPM
86,PW05010101016317,Vandannoor - Melariyodu road,0,2.3,2.3,TVPM
87,PW05010104016303,Statue-Chirakkulam-Uppidamoodu,0,0.99,0.99,TVPM
88,PW05010104016312,"Ayurveda College- ChettikulangaraRoad",0,0.24,0.24,TVPM
89,PW05010104016302,"Airport -Cheelanthimukku -Thaivilakom",0,1.07,1.07,TVPM
90,PW05010103046325,"Andoorkonam-KeezhavoorThiruvaloour Karamoodu",0,3.43,3.43,TVPM
91,PW05010103046326,Poolanthara Santhigiri Ashramam,0,1,1,TVPM
92,PW05010103046327,"Ariyottukonam Kattaikonam MelevilaKalladichavila Jayanthipuram",0,3.5,3.5,TVPM
93,PW05010103046328,"Powdikonam KanjikkalVattakarikkakom AruvikkarakonamSanthipuram Kalladichavila",0,5,5,TVPM
94,PW05010103046329,Ambalam Vengode,0,4,4,TVPM
95,PW05010103046330,Vilayilkulam Kazhakkutom Riy Stn Road,0,1.6,1.6,TVPM
96,PW05010103046331,Vetturoad Kattaikonam,0,0.6,0.6,TVPM
97,PW05010103046332,"Kazhakuttom Rly Stn to KaniyapuramRly Stn",0,3.6,3.6,TVPM
98,PW05010103046333,"Chenkottukonam NjandoorkonamPerumpalam Vattakarikkakom",0,6.35,6.35,TVPM
99,PW05010102026301,"Anad branch Road (Attukal - PanavoorRoad) Km 0/000 to 5/250",0,5.25,5.25,TVPM
100,PW05010103046334,Azhoor - Perumathura,0,2.6,2.6,TVPM
101,PW05010103046335,Vadayil mukku - Kandal- Karchara,0,1.5,1.5,TVPM
102,PW05010103046336,Kaniyapuram - Chirayinkeezhu,0,6.04,6.04,TVPM
103,PW05010103026333,"Pottakkuzhy GowreeshapattomMulavana",0,1,1,TVPM
104,PW05010105036333,Elakamon Kayalpuram road,0,4,4,TVPM
105,PW05010105036335,Punnamoode Kurakanni,0,1.3,1.3,TVPM
106,PW05010103046324,Thonnakkal-Valikonam-Veiloor,0,2.8,2.8,TVPM
107,PW05010103046337,14Th Mile-TQ road-Karichara,0,1.6,1.6,TVPM
108,PW05010103046338,Karamoodu-Pallippuram,0,1.75,1.75,TVPM
109,PW05010103046339,"Vavara Ambalam-Netajipuram-Sreenarayanapuram-Vengodu",0,4,4,TVPM
110,PW05010103046340,Karichara-Kayalkadavu,0,1.2,1.2,TVPM
111,PW05010103046341,"Approach road to KazhakuttomRailway station",0,0.6,0.6,TVPM
112,PW05010103046342,Kaniyapuram Lending road,0,1.9,1.9,TVPM
113,PW05010103046343,Mohanapuram-Kalloor,0,2,2,TVPM
114,PW05010103046344,Perumathura-Kottaramthuruthu,0,1.2,1.2,TVPM
115,PW05010103046345,"Puthukurichy Convent-Kottaramthuruthu",0,1.1,1.1,TVPM
116,PW05010103046347,"Thonnakkal-Vengode-Malamugal-Chemboor Link road",0,6,6,TVPM
117,PW05010103046346,Thonnakkal-Kalloor-Manjamala,0,2.9,2.9,TVPM
118,PW05010105036309,"Kovoor -Vayanashala -Vandippura -Palayamkunnu",0,5.5,5.5,TVPM
119,PW05010105036308,Anjumukk -Odayam,0,1.3,1.3,TVPM
120,PW05010102026308,Madathara-Pinnamannar Road,0,21.5,21.5,TVPM
121,PW05010105016311,"Anathalavattum-Kaniyamkudi-Nilkkamukkuroad",0,4,4,TVPM
122,PW05010102016311,Venkavila Moozhi,0,4.6,4.6,TVPM
123,PW05010102016309,Nedumangad Aruvikkara road,0,5.1,5.1,TVPM
124,PW05010102016306,Thottumukku Memala Kalankavu road,0,4.65,4.65,TVPM
125,PW05010104016307,"st.xaviers jn--Valiyathura road (via)Thyvilakom",0,0.81,0.81,TVPM
126,PW05010101016331,Vadakkekotta road,0,0.37,0.37,TVPM
127,PW05010104016313,"Kaithamukku Temple Jn - Westfort(Punnapuram Colony Road)",0,0.82,0.82,TVPM
128,PW05010105036332,Vettoor -Panayilakadavu road,0,2.5,2.5,TVPM
129,PW05010101016332,Perumpazhuthoor Aruvippuram,0,2,2,TVPM
130,PW05010101046311,Vazhichal Amboori Road,0,3.5,3.5,TVPM
131,PW05010101016334,Moolakonam road,0,7.75,7.75,TVPM
132,PW05010101016335,Old MS road to NH,0,0.8,0.8,TVPM
133,PW05010102016312,"Enikkara-Pazhayattinkara-Tharatta-Kachani road km 0/000 to 5/000",0,5,5,TVPM
134,PW05010101056334,Balaramapuram Poovar,2.8,12.4,9.6,TVPM
135,PW05010101056332,Balaramapuram- Vizhinjam,0,8,8,TVPM
136,PW05010101056302,Pallichal Mavarathala Kalliyoor road,0,1.4,1.4,TVPM
137,PW05010101056303,Muttakkadu Kovalam,0,1.6,1.6,TVPM
138,PW05010101056335,Pallichal Vizhinjam,0,9,9,TVPM
139,PW05010101056337,Nellivila Vawamoola road,0,3.2,3.2,TVPM
140,PW05010101056304,"Panayarakunnu KottukalkonamThannimoodu road",0,2.4,2.4,TVPM
141,PW05010101056305,Pachalloor- Venganoor road,0,7.2,7.2,TVPM
142,PW05010101056306,Nemom -Punnamoodu road,0,5.8,5.8,TVPM
143,PW05010101056307,Punnamoodu -Vedivachan coil road,0,0.8,0.8,TVPM
144,PW05010101056308,Uchakada - Karichalkayal road,0,4.9,4.9,TVPM
145,PW05010101056309,Uchakkada -Pulinkudi road,0,2.2,2.2,TVPM
146,PW05010101056310,"Uchakkada -Cicilipuram Chavadipuramroad",0,1.8,1.8,TVPM
147,PW05010104016310,St. Xavier's Jn - BSF Lane Road,0,0.55,0.55,TVPM
148,PW05010104016311,Beemapally - Valiyathura,0,1.29,1.29,TVPM
149,PW05010104036330,Peroorkada Mannanthala Road,0,5.7,5.7,TVPM
150,PW05010104036331,Ambalanagar Road,0,0.9,0.9,TVPM
151,PW05010104036332,"AKG Krishnanagar KudappanakunnuRoad",0,1.9,1.9,TVPM
152,PW05010104036333,Chitallor Road,0,2.21,2.21,TVPM
153,PW05010104036334,MLA Road,0,1.35,1.35,TVPM
154,PW05010104036335,Kuravankonam Maruthoor,0,6.9,6.9,TVPM
155,PW05010104036354,Sisuvihar Road,0,0.35,0.35,TVPM
156,PW05010101036335,Parassala Panachamoodu road,0,2.44,2.44,TVPM
157,PW05010101046329,Old ottasekharamangalam road,0,2.28,2.28,TVPM
158,PW05010101046330,Muthiyavila-Ottaseekharamangalam,5.2,7.33,2.13,TVPM
159,PW05010101046331,Thattammukku-Mayam Road,0,2.6,2.6,TVPM
160,PW05010101046332,Chamavila-Mullaluvila Road,0,2.8,2.8,TVPM
161,PW05010101016337,Neyyattinkara Marayamuttom road,0,3.2,3.2,TVPM
162,PW05010104036336,Ambalamukk Oolampara road,0,0.6,0.6,TVPM
163,PW05010104036337,NCC Road,0,1.55,1.55,TVPM
164,PW05010104036338,Peroorkada Sasthamangalam road,0,3.22,3.22,TVPM
165,PW05010104036340,Vazhayila Mukkolakal road,0,1.1,1.1,TVPM
166,PW05010104036342,Vazhayila Kizhakkemukkola,0,3.5,3.5,TVPM
167,PW05010104036341,"Peroorkada ManikanteswaramNettayam",0,3.2,3.2,TVPM
168,PW05010102016324,"Anad - Pulippara road (Attukal - Anad-Kallingal road)) Km 0/000 to 5/620",0,5.62,5.62,TVPM
169,PW05010102016319,Nedumangad - Karippooru road,0,5.95,5.95,TVPM
170,PW05010102016320,"Kazhanad road ( Vattappara -Nedumangad road )",1.75,6.75,5,TVPM
171,PW05010102016326,"Nedumangad - Town Branch road Km0/000 to 1/800",0,1.8,1.8,TVPM
172,PW05010102016321,"Old Rajapatha (Kallampara- Netta-Kummippally-Keltron Junction) Road",0,3.4,3.4,TVPM
173,PW05010102016322,"8th mile -T S Road to Aruvikkara road(Keltron Junction - Aruvikkara road)",0,4.3,4.3,TVPM
174,PW05010104036343,"Nanthancode junction to southapproach road to Cliff house",0,0.55,0.55,TVPM
175,PW05010104036344,Cliff House Road,0,0.45,0.45,TVPM
176,PW05010104036345,Keston Road,0,0.8,0.8,TVPM
177,PW05010104036346,Upper Meridian Road,0,1.4,1.4,TVPM
178,PW05010104036347,"Pattom Kowdiar loop Road (MarketRoad)",0,0.4,0.4,TVPM
179,PW05010104036348,"Road Inside Jawahar Nagar (Includesroad from Golf Links)",0,2.9,2.9,TVPM
180,PW05010104036349,Golf Links Road,0,1.43,1.43,TVPM
181,PW05010104036350,PMG Nanthancode Junction Road,0,0.95,0.95,TVPM
182,PW05010104036352,Museum Nanthencode TTC Road,0,1.8,1.8,TVPM
183,PW05010104036351,TK Divakaran Road,0,1.9,1.9,TVPM
184,PW05010104036353,YMR Kuravankonam Road,0,0.8,0.8,TVPM
185,PW05010104036301,Approach Road to Containment house,0,0.4,0.4,TVPM
186,PW05010104036302,Udarashiromani Road,0,0.9,0.9,TVPM
187,PW05010104036303,Plamoodu Charachira Road,0,0.8,0.8,TVPM
188,PW05010104036304,Plamoodu Marappalam Road,0,0.35,0.35,TVPM
189,PW05010104036305,Plamoodu Panamukku Road,0,0.5,0.5,TVPM
190,PW05010104036306,Sooryakanthi Road,0,0.3,0.3,TVPM
191,PW05010104036307,Sasthamangalam Maruthenkuzhy Road,0,1,1,TVPM
192,PW05010104036308,Branch Road leading to Maruthenkuzhy,0,0.5,0.5,TVPM
193,PW05010104036309,Kochar Road,0,1.3,1.3,TVPM
194,PW05010104036310,Sankar Road,0,0.45,0.45,TVPM
195,PW05010104036311,"Sri Ramakrishna Ashrama HospitalRoad",0,0.35,0.35,TVPM
196,PW05010104036312,Maruthenkuzhy Vettamukk road,0,1.4,1.4,TVPM
197,PW05010104036313,Vettamukk Pallimukk Road,0,0.9,0.9,TVPM
198,PW05010104036314,Vettamukk Valiyavila Road,0,1.4,1.4,TVPM
199,PW05010104036315,Vattiyoorkavu Arrapura Road,0,2,2,TVPM
200,PW05010104036316,Kadayil Mudambu,0,1.2,1.2,TVPM
201,PW05010104036317,"Pangode Maruthenkuzhy (ChithraNagar Road)",0,1,1,TVPM
202,PW05010104036318,Arappura Elippode Road,0,1.4,1.4,TVPM
203,PW05010104036319,"Nettayam Manalayam Moonamooduroad (MLA Road)",0,3,3,TVPM
204,PW05010104036320,Manalayalm Malamughal Road,0,0.65,0.65,TVPM
205,PW05010104036321,Vattiyoorkavu Kulasekaram road,0,3,3,TVPM
206,PW05010104036322,Peroorkada Mannarakonam Road,0,3.2,3.2,TVPM
207,PW05010104036323,Kundamanadavu Vattiyoorkavu Road,0,2,2,TVPM
208,PW05010104036324,Maruthenkuzhi Kachani Road,0,6.2,6.2,TVPM
209,PW05010104036325,Vattiyoorkavu Vellaikadavu Road,0,3.2,3.2,TVPM
210,PW05010104036326,"Thittamangalam PlavooduKulasekharam Road",0,2,2,TVPM
211,PW05010104036327,Kulasekharam Vellaikadavu Road,0,1.2,1.2,TVPM
212,PW05010104036328,Kodinganoor Plavoodu Road,0,0.75,0.75,TVPM
213,PW05010102016323,"9th mile of TS Road to Aruvikkara(Azhicode - Aruvikkara road)",0,4,4,TVPM
214,PW05010102016325,"Vithura Bonacaude Road KM 0/000 to19/600",0,19.6,19.6,TVPM
215,PW05010102016327,Irumba - Kachani Road,0,2.4,2.4,TVPM
216,PW05010102016328,Karakulam ��� Kachan,0,1.6,1.6,TVPM
217,PW05010102016329,Karakulam - Mullasseri - Venkode Road,0,4.2,4.2,TVPM
218,PW05010102016330,"Kummippally- Mukkolakkal road(Kummipalli - Mullasseri road",0,2.2,2.2,TVPM
219,PW05010102016331,"Venkodu - Sunnagar - Mulammukkuroad",0,2.2,2.2,TVPM
220,PW05010102016332,"Kummippally- Kizhakkela- Ambalammukku road Km 0/000 to 1/800",0,1.8,1.8,TVPM
221,PW05010102016333,"Tholikode-Thuruthi Bhadramvachapararoad",0,6.2,6.2,TVPM
222,PW05010102016317,"16 th mile TP Road-ISRO-ValiyamalaRoad",0,2,2,TVPM
223,PW05010102016318,Vattakkulam - Aruvikkara Road,0,0.67,0.67,TVPM
224,PW05010102016314,"Perayam - Mullachira - Midalam -Ganapathiyampara - Anapara Road",0,4,4,TVPM
225,PW05010102016316,"Vembannoor- Manamboor-Kadambanad- Cheriyakonni Road",0,3.1,3.1,TVPM
226,PW05010102016334,Kizhakkela- Maverthala road,0,2,2,TVPM
227,PW05010102016315,"Nedumangad Bus Stand-Kulavikkonamroad (Surya road)",0,0.3,0.3,TVPM
228,PW05010102016313,"Thottumukku-Erappil- Anappatty-Chayam Road",0,4.1,4.1,TVPM
229,PW05010102016335,"Thevampara-Thekkummoodu-Pachamala - Poriyakkadu Road",0,2.2,2.2,TVPM
230,PW05010102036324,"Chirathalakkal-Madapuram-Moonnanakuzhi road",0,7,7,TVPM
231,PW05010102036323,"Kochalummoodu-Valiyavila-kunnur-Edathara Nagar Govt. LPS",0,3,3,TVPM
232,PW05010102036319,"Vettinad - mandapam- Mottamoodu-Punkummoodu road",0,4,4,TVPM
233,PW05010102036320,"Peringoor-Kaithamoozhi-Mottamoodu-Vettinad - Mandapam road",0,3,3,TVPM
234,PW05010102036321,Uthirapetty - Kanyakulangara road,0,1.6,1.6,TVPM
235,PW05010102036322,Konchira-Panthalacode Road,0,5,5,TVPM
236,PW05010102036317,"Kazhanad road ( Vattappara -Nedumangad road )",0,1.75,1.75,TVPM
237,PW05010102036316,Vembayam - Pallippuram Road,0,6.4,6.4,TVPM
238,PW05010102036329,"Vamanapuram Chittar Road ( Karettu -Palode road)",0,6,6,TVPM
239,PW05010102036325,"Aramthanam ��� Vellumannadi ���Pal",0,11.53,11.53,TVPM
240,PW05010102036326,Kallara - Muthuvila road,0,7.2,7.2,TVPM
241,PW05010102036327,Muthuvila - Parappil road,0,2.2,2.2,TVPM
242,PW05010102036332,Pirappancode- Pothencode road,0,1,1,TVPM
243,PW05010102036331,Kallara -Tholikuzhy road,0,5.3,5.3,TVPM
244,PW05010102036330,Keezhayikonam -Nellanad Road,0,1.35,1.35,TVPM
245,PW05010104036329,YMR Devasom Board Road,0,0.8,0.8,TVPM
246,PW05010102046350,"Parantode - Onnampalam -Kuttappara road",0,5.6,5.6,TVPM
247,PW05010105016320,Mamam Parakkad,0,2,2,TVPM
248,PW05010104016314,Overbridge - Uppidammodu,0,0.75,0.75,TVPM
249,PW05010101016338,Avanakuzhi Ambalam road.,0,2.1,2.1,TVPM
250,PW05010101016339,Mudavoorpara Valiyarathala road.,0,3.2,3.2,TVPM
251,PW05010105016314,"Kollampuzha Landing Avanavancherryroad to join 5th mileVenjaramoodu",0,1.7,1.7,TVPM
252,PW05010105016315,"Palakunnu valiyela harijan colonypuravoor bridge road",0,2,2,TVPM
253,PW05010105016316,Sarkara -Manjadimoodu By pass road,0,0.75,0.75,TVPM
254,PW05010105016317,ayilam kalamachal,0,1.64,1.64,TVPM
255,PW05010105016318,Attingal Tottavaram Road,0,2.55,2.55,TVPM
256,PW05010104026301,"Vazhuthacaud - Edappazhanji -Pallimukku",0,3.5,3.5,TVPM
257,PW05010104026302,Spencer Jn. To Vazhuthacaud,0,1.03,1.03,TVPM
258,PW05010104026303,Punnen road,0,0.2,0.2,TVPM
259,PW05010104026305,Bakery Jn. - Women's college road,0,0.45,0.45,TVPM
260,PW05010104026304,Karunakaran Sapthathy road,0,0.14,0.14,TVPM
261,PW05010104026306,Rose House - Panavila road,0,0.15,0.15,TVPM
262,PW05010104026309,Pulimoodu - Residency,0,1.35,1.35,TVPM
263,PW05010104026310,SMSM Institute to Govt. Press,0,0.2,0.2,TVPM
264,PW05010104026311,Palayam - Panchapura road,0,0.6,0.6,TVPM
265,PW05010104026312,"Drainage road connecting Observatory& Nandavanam",0,0.47,0.47,TVPM
266,PW05010104026313,Manaveeyam road,0,0.2,0.2,TVPM
267,PW05010104026315,"Forest office Jn. To Bakery Jn. (Parisroad)",0,1.2,1.2,TVPM
268,PW05010104026316,Mettukkada - Kannettumukku road,0,0.4,0.4,TVPM
269,PW05010104026317,"Around Residency (Music college toGuest House)",0,0.5,0.5,TVPM
270,PW05010104026318,Thycaud House to Keezhe Thampanoor,0,0.63,0.63,TVPM
271,PW05010104026319,DPI - Women's college road,0,0.64,0.64,TVPM
272,PW05010104026320,DPI - Ammankovil road,0,0.5,0.5,TVPM
273,PW05010104026321,Manjalikulam road,0,0.75,0.75,TVPM
274,PW05010104026322,New Theatre road,0,0.53,0.53,TVPM
275,PW05010104026323,"Vazhuthacaud - Jagathy - Poojappuraroad",0,2,2,TVPM
276,PW05010104026324,CIT Road,0,1.25,1.25,TVPM
277,PW05010104026325,Karamana - Parachira road,0,0.95,0.95,TVPM
278,PW05010104026326,Kunchalumoodu - NGO Quarters,0,1,1,TVPM
279,PW05010104026327,"Edappazhanji- Jagathy - Killippalamroad",0,3.78,3.78,TVPM
280,PW05010104026328,"East Fort - Killippalam road (Chalairoad)",0,1,1,TVPM
281,PW05010104026329,"Aryasala road (Kalyan Hospital toChoorakkattupalayam)",0,0.35,0.35,TVPM
282,PW05010104026330,Kalyan Hospital - Ammankovil road,0,1.3,1.3,TVPM
283,PW05010104026331,"Kripa theatre - Ajantha theatre andCentral theatre road",0,0.8,0.8,TVPM
284,PW05010104026332,Attakulangara - Killippalam road,0,1.2,1.2,TVPM
285,PW05010104026333,"Poojapura-Thirumala-Valiyavila-Kundamankadavu",0,4.1,4.1,TVPM
286,PW05010104026334,"Poojapura-Mudavanmughal-Punnaykkamukal road",0,3.4,3.4,TVPM
287,PW05010104026335,Poojapura Loop Road,0,0.25,0.25,TVPM
288,PW05010104026336,Karamana-Poojapura road,0,1.5,1.5,TVPM
289,PW05010104026337,"Kunchalumoodu - Thamalam-Kesavased road",0,2.5,2.5,TVPM
290,PW05010104026338,Chalippatheru road,0,0.26,0.26,TVPM
291,PW05010104026339,Manacaud-Kalady Road,0,2.3,2.3,TVPM
292,PW05010104026340,Killipalam-Iranimuttom Bund road,0,2.25,2.25,TVPM
293,PW05010104026341,Attukal Bridge-Attukal Temple road,0,0.3,0.3,TVPM
294,PW05010104026342,Kalady-Maruthoorkadavu road,0,1.3,1.3,TVPM
295,PW05010104026343,Kulathara Kalady South Road,0,1.8,1.8,TVPM
296,PW05010104026344,Karamana Thaliyal Kalady Road,0,2,2,TVPM
297,PW05010104026345,Road from Andiyirakkam Bathing Ghat,0,0.3,0.3,TVPM
298,PW05010104026346,Karamana Soman Nagar Kalady Road,0,1.8,1.8,TVPM
299,PW05010104026347,Chiramukku Ambalathara Road,0,2.5,2.5,TVPM
300,PW05010104026348,Thirumala Mangattukadavu Road,0,1.5,1.5,TVPM
301,PW05010104026349,"Vijayamohini mill PunnaykkamukalKunnupuzha road",0,2,2,TVPM
302,PW05010104026350,Tagore Road,0,2,2,TVPM
303,PW05010104026351,Annoor Anayidavazhy MLA road,0,1.2,1.2,TVPM
304,PW05010104026352,Kunnapuzha School Aramada Church,0,2,2,TVPM
305,PW05010104026353,Thirumala Thirkkanapuram road,0,3.3,3.3,TVPM
306,PW05010102026321,Perayam - Chellanchi road,0,1.8,1.8,TVPM
307,PW05010102026324,Pangode - Kizhakkumbhagam road,0,1.6,1.6,TVPM
308,PW05010102026323,Vithura - Peppara road,0,9.5,9.5,TVPM
309,PW05010102026322,"Thekkumoodu - Panayamuttom -Panayam road",0,2,2,TVPM
310,PW05010105016332,Kurakkada gandhi smarakom road,0,1.4,1.4,TVPM
311,PW05010105036310,Papanasam road,0,0.8,0.8,TVPM
312,PW05010105026302,NAGAROOR KALLAMBALAM,0,10,10,TVPM
313,PW05010105026303,NAGAROOR KARETE,0,6.8,6.8,TVPM
314,PW05010105026304,NAVAIKULAM PALLICKAL,0,5.8,5.8,TVPM
315,PW05010105026305,KILIMANOOR MADAVOOR,0,10,10,TVPM
316,PW05010105026306,NAVAIKULAM THUMBODE,0,6.1,6.1,TVPM
317,PW05010105026307,THUMBODE KAITHODE,0,5.1,5.1,TVPM
318,PW05010105026308,CHADAYAMANGALAM PALLICKAL,6.4,9.8,3.4,TVPM
319,PW05010105026309,"CHEMMARATHUMUKKUPUTHUSSERYMUKKU",0,6.6,6.6,TVPM
320,PW05010105026310,"KILIMANOOR KADAKKAL( VIA)ADAYAMON",0,4.6,4.6,TVPM
321,PW05010105026311,"KILIMANOOR POLICESTATIONTHOLIKUZHY",0,5.2,5.2,TVPM
322,PW05010105026312,AALAMCODE HSS CHAPPATHMUKKU,0,2.8,2.8,TVPM
323,PW05010105026313,"KATTUMPURAM POLICEMUKKUKANGHIYAMVILA",0,2.8,2.8,TVPM
324,PW05010105026314,PALLICKAL VELINALLOOR,0,6,6,TVPM
325,PW05010105026315,PONGANADU PUTHUSSERYMUKKU,0,5.5,5.5,TVPM
326,PW05010105026316,PAPPALA PANGALTHADOM,0,3,3,TVPM
327,PW05010105026317,THAKARAPARAMBU THATTATHUMALA,0,7.8,7.8,TVPM
328,PW05010105026324,"VATTAKAITHA KARIMPALODEKATTUCHANTHA",0,4,4,TVPM
329,PW05010105026326,THOLOOR MADAVOOR,0,3,3,TVPM
330,PW05010105026318,OLD PARIPALLY MADATHARA,0,2,2,TVPM
331,PW05010105026319,PORUNTHAMON KALLARA,0,7,7,TVPM
